,x,y,xG,result,shotType
0,0.7959999847412109,0.6140000152587891,0.02882419154047966,SavedShot,LeftFoot
1,0.924000015258789,0.6020000076293945,0.4010329246520996,SavedShot,LeftFoot
2,0.7380000305175781,0.5220000076293946,0.058890312910079956,ShotOnPost,LeftFoot
3,0.745999984741211,0.624000015258789,0.016986658796668053,MissedShots,LeftFoot
4,0.8519999694824218,0.46700000762939453,0.09309399873018265,BlockedShot,RightFoot
5,0.774000015258789,0.43900001525878907,0.08677644282579422,ShotOnPost,LeftFoot
6,0.919000015258789,0.6029999923706054,0.12047961354255676,BlockedShot,LeftFoot
7,0.795,0.5479999923706055,0.11765385419130325,MissedShots,LeftFoot
8,0.8119999694824219,0.5420000076293945,0.05513080582022667,MissedShots,LeftFoot
9,0.9619999694824218,0.49900001525878906,0.6168384552001953,SavedShot,Head
10,0.7969999694824219,0.3270000076293945,0.025045564398169518,SavedShot,LeftFoot
11,0.8009999847412109,0.3060000038146973,0.03367043659090996,BlockedShot,LeftFoot
12,0.8090000152587891,0.47900001525878905,0.04617760702967644,MissedShots,LeftFoot
13,0.895,0.595999984741211,0.08227503299713135,MissedShots,LeftFoot
14,0.75,0.34,0.05162494257092476,MissedShots,LeftFoot
15,0.875999984741211,0.475,0.38902372121810913,SavedShot,RightFoot
16,0.91,0.685,0.08272543549537659,SavedShot,LeftFoot
17,0.815,0.5029999923706054,0.059436678886413574,SavedShot,RightFoot
18,0.7619999694824219,0.6079999923706054,0.06776884943246841,MissedShots,LeftFoot
19,0.7919999694824219,0.40700000762939453,0.06329125910997391,Goal,LeftFoot
20,0.855999984741211,0.42700000762939455,0.0836830660700798,BlockedShot,LeftFoot
21,0.8109999847412109,0.5309999847412109,0.053177375346422195,BlockedShot,LeftFoot
22,0.9380000305175781,0.4259999847412109,0.49352285265922546,SavedShot,RightFoot
23,0.855999984741211,0.5690000152587891,0.06775691360235214,MissedShots,LeftFoot
24,0.7930000305175782,0.34900001525878904,0.024272819980978966,BlockedShot,LeftFoot
25,0.82,0.34299999237060547,0.10612422227859497,BlockedShot,LeftFoot
26,0.825,0.18299999237060546,0.019449157640337944,SavedShot,LeftFoot
27,0.9159999847412109,0.295,0.048901982605457306,BlockedShot,RightFoot
28,0.8109999847412109,0.509000015258789,0.04386169835925102,BlockedShot,LeftFoot
29,0.8380000305175781,0.5509999847412109,0.06182365119457245,MissedShots,LeftFoot
30,0.795,0.4909999847412109,0.04724498093128204,ShotOnPost,LeftFoot
31,0.879000015258789,0.6329999923706054,0.09656360000371933,BlockedShot,LeftFoot
32,0.91,0.705,0.044127415865659714,BlockedShot,LeftFoot
33,0.7469999694824219,0.5070000076293946,0.021876486018300056,BlockedShot,LeftFoot
34,0.8090000152587891,0.5059999847412109,0.15073487162590027,MissedShots,LeftFoot
35,0.8580000305175781,0.40200000762939453,0.058816712349653244,BlockedShot,LeftFoot
36,0.715999984741211,0.4640000152587891,0.046026561409235,MissedShots,LeftFoot
37,0.735,0.515,0.05709565058350563,MissedShots,LeftFoot
38,0.9080000305175782,0.34700000762939454,0.2767370343208313,ShotOnPost,RightFoot
39,0.835999984741211,0.6179999923706054,0.054604314267635345,ShotOnPost,LeftFoot
40,0.75,0.549000015258789,0.02145405486226082,MissedShots,LeftFoot
41,0.9580000305175781,0.6569999694824219,0.18739421665668488,SavedShot,LeftFoot
42,0.915,0.365,0.05839160457253456,SavedShot,LeftFoot
43,0.8019999694824219,0.6309999847412109,0.03737752512097359,MissedShots,RightFoot
